label,spa_qura1,spa_qura2
0,10 días han terminado,"Si mi orden es inferior a 10 $, ¿pagaré por el envío?"
0,cómo responder una disputa,¿Cómo agregar imágenes a la disputa?
1,dónde encontrar el número de pedido,No puedo encontrar mi número de pedido en línea
0,"No quiero cancelar el pedido, quiero que responda con el producto es posible?",Mi vendedor ha enviado el producto. Quiero cancelar el pedido
1,Me acaban de enviar un correo electrónico sobre una disputa diciéndome que envíe un correo electrónico al vendedor o que vaya a una disputa comercial. No tengo ningún correo electrónico para el vendedor y no pude encontrar una disputa comercial en ningún lugar de su sitio web,¿Dónde puedo encontrar mis casos de disputas?
0,Hice un pedido como invitado pero no tengo confirmación,He realizado un pedido pero deseo confirmar la dirección postal
0,El vendedor no me responde,el vendedor me mintió
1,El vendedor no me reembolsa,El vendedor no me responde
0,Dónde encontrar un identificador postal,¿Dónde puedo encontrar la factura comercial?
0,"Mi pedido no ha llegado, faltan tres días para que termine la proteccion al consumidor",Recibo un email de que un nuevo correo ha llegado.
0,"buenos días, no recibí la confirmación de la cancelación de mi pedido, el pedido de estado ha finalizado pero no recibí la confirmación por correo electrónico",No recibí la confirmación después de mi pedido
0,hice pedido como invitada y no lo he recibido,Mi pedido fue cancelado y no he recibido el reembolso.
0,Todavía no está allí tampoco,¿Por qué los pagos de Boleto todavía muestran esperar el pago?
0,eliminar la lista de deseos,añadir a la lista de deseos
1,cómo editar la cuenta,¿Cómo edito mi cuenta?
0,página de detalles de la orden,No puedo acceder a la página de pago de mi pedido
0,compre un vestido y no llego,"Por favor, ¿podrían hacer un vestido a medida?"
0,"Entonces, ¿fue un error que el vendedor quiere que confirme el pedido?",Confirmé el pedido por error. ¿Que puedo hacer?
1,"Hola, buenas noches","Hola, buenas noches"
0,por que me bloquearon,¿Cómo consigo que me devuelvan mi dinero?
1,que mierda es eso que estas haciendo alli,¡Qué dia de mierda!
1,Mis monedas de la aplicación no se agregan. ¿Que puedo hacer?,¿Cómo uso las monedas?
0,?Quien está a cargo de mi disputa? ?Puedo obtener tu dirección de correo electrónico?,¿Cómo puedo obtener los mejores costes de envío?
1,¿Está disponible la opción de pago contra entrega?,¿Puedo comprar en efectivo en la entrega?
